City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,makoua,0.0069,15.6333,25.68,73,64,0.62,CG,1725390865
133,naze,28.3667,129.4833,23.51,78,2,1.5,JP,1725390866
134,murzuq,25.9155,13.9184,33.39,32,72,2.89,LY,1725390867
135,hakui,36.8833,136.7833,22.92,89,100,2.68,JP,1725390869
136,labytnangi,66.6572,66.4183,4.44,88,69,1.72,RU,1725390870
137,nagqu,31.5,92.0,4.63,93,100,0.9,CN,1725390871
138,chonchi,-42.6128,-73.8092,7.53,94,100,3.87,CL,1725390872
139,bilibino,68.0546,166.4372,8.38,98,100,0.74,RU,1725390873
140,aitape,-3.1374,142.3475,24.24,89,99,1.85,PG,1725390875
141,neiafu,-18.65,-173.9833,19.38,88,20,0.0,TO,1725390876
142,monkey bay,-14.0728,34.9201,23.23,58,1,7.75,MW,1725390877
143,gazli,40.1333,63.45,23.07,16,0,4.91,UZ,1725390878
144,kansanshi,-12.0951,26.4273,15.98,32,0,2.18,ZM,1725390879
145,flin flon,54.7682,-101.865,25.91,47,100,6.69,CA,1725390880
146,socorro,31.6546,-106.3033,26.7,45,40,1.54,US,1725390881
147,ajaigarh,24.9,80.2667,27.65,81,21,2.08,IN,1725390882
148,san julian,21.0167,-102.1667,23.34,60,100,3.3,MX,1725390883
149,keflavik,64.0049,-22.5624,7.24,87,40,6.69,IS,1725390884
150,port-vila,-17.7338,168.3219,16.78,100,75,1.03,VU,1725390885
151,sumbawa besar,-8.5,117.4333,22.56,87,6,1.55,ID,1725390887
152,escanaba,45.7453,-87.0646,24.03,60,20,6.69,US,1725390888
153,avarua,-21.2078,-159.775,24.03,94,75,5.14,CK,1725390889
154,tamanrasset,22.785,5.5228,27.95,47,40,4.12,DZ,1725390876
155,astrakhan,46.3497,48.0408,18.93,55,0,7.0,RU,1725390891
156,polyarnyy,69.1989,33.4478,13.49,75,6,5.93,RU,1725390892
157,castillos,-34.1667,-53.8333,18.74,65,9,2.37,UY,1725390893
158,arno,60.1167,18.6333,13.55,83,100,3.75,SE,1725390894
159,sotkamo,64.1333,28.4167,15.62,95,24,1.53,FI,1725390895
160,tolanaro,-25.0319,46.9987,21.04,83,75,8.23,MG,1725390896
161,corsicana,32.0954,-96.4689,27.01,73,100,5.14,US,1725390897
162,sidrolandia,-20.9319,-54.9614,37.1,11,0,2.36,BR,1725390899
163,tsiombe,-25.3,45.4833,18.19,78,0,5.44,MG,1725390900
164,alotau,-10.3069,150.4462,23.21,78,100,1.55,PG,1725390902
165,san antonio de pale,-1.4014,5.6325,24.31,85,100,5.66,GQ,1725390904
166,pathein,16.7833,94.7333,25.2,93,87,2.48,MM,1725390905
167,suklayin,15.7574,121.5503,25.19,94,100,2.11,PH,1725390906
168,chui,-33.6971,-53.4616,19.15,65,0,3.05,UY,1725390907
169,whangarei,-35.7317,174.3239,8.24,98,100,1.43,NZ,1725390908
170,nuku'alofa,-21.1333,-175.2,18.19,88,20,1.54,TO,1725390909
171,beledweyne,4.7358,45.2036,26.56,52,6,11.37,SO,1725390911
172,moyale,3.5167,39.0584,24.37,48,99,2.24,KE,1725390912
173,ancud,-41.8697,-73.8203,9.12,86,100,8.96,CL,1725390913
174,hampton bays,40.869,-72.5176,22.7,42,0,3.09,US,1725390914
175,dunedin,-45.8742,170.5036,7.11,72,1,2.24,NZ,1725390799
176,baikonur,45.6167,63.3167,20.37,21,40,2.56,KZ,1725390916
177,manokwari,-0.8667,134.0833,25.85,77,99,1.64,ID,1725390917
178,northam,51.0333,-4.2167,15.9,88,55,3.74,GB,1725390918
179,male,4.1748,73.5089,27.97,89,75,7.2,MV,1725390919
180,st. john's,47.5649,-52.7093,16.82,96,100,7.2,CA,1725390918
181,port augusta,-32.5,137.7667,9.82,38,0,3.29,AU,1725390922
182,juegang,32.3174,121.1855,23.7,75,96,1.33,CN,1725390923
183,bcharre,34.2508,36.0106,15.92,93,0,0.45,LB,1725390924
184,rikaze,29.25,88.8833,14.28,52,85,2.01,CN,1725390925
185,codrington,-38.2667,141.9667,10.84,58,11,8.63,AU,1725390926
186,shimoda,34.6667,138.95,22.91,85,99,7.28,JP,1725390927
187,kruisfontein,-34.0033,24.7314,14.8,63,100,2.41,ZA,1725390928
188,calvinia,-31.4707,19.776,18.41,40,94,2.3,ZA,1725390929
189,al hamul,31.3115,31.1477,24.19,74,0,2.5,EG,1725390930
190,formosa do rio preto,-11.0483,-45.1931,34.75,15,0,3.07,BR,1725390931
191,enewetak,11.3474,162.3373,28.64,72,7,4.61,MH,1725390933
192,bafoulabe,13.8065,-10.8321,26.94,85,100,2.38,ML,1725390934
193,yeed,4.55,43.0333,29.94,42,98,9.36,SO,1725390935
194,khandyga,62.6667,135.6,7.73,96,100,1.27,RU,1725390936
195,tazovsky,67.4667,78.7,6.1,85,100,5.88,RU,1725390937
196,midvagur,62.0511,-7.1939,10.46,93,100,2.57,FO,1725390938
197,myitkyina,25.3833,97.4,23.91,100,100,1.06,MM,1725390939
198,mount gambier,-37.8333,140.7667,11.65,48,45,5.9,AU,1725390940
199,kargopol',61.5071,38.9456,10.82,70,100,1.95,RU,1725390941
200,bel ombre,-4.6167,55.4167,26.91,83,75,7.72,SC,1725390942
201,puerto baquerizo moreno,-0.9,-89.6,24.55,88,40,7.2,EC,1725390943
202,decatur,39.8403,-88.9548,23.03,40,0,3.6,US,1725390944
203,ulanhot,46.0833,122.0833,16.65,82,100,4.61,CN,1725390946
204,waddan,29.1614,16.139,35.79,24,75,4.67,LY,1725390947
205,huarmey,-10.0681,-78.1522,20.12,70,5,5.6,PE,1725390948
206,nuuk,64.1835,-51.7216,8.34,87,75,4.12,GL,1725390949
207,paita,-5.0892,-81.1144,20.69,70,10,7.03,PE,1725390950
208,visby,57.6409,18.296,16.12,88,44,3.6,SE,1725390951
209,katsuren-haebaru,26.3369,127.8719,28.43,90,40,2.06,JP,1725390952
210,nouadhibou,20.931,-17.0347,22.99,73,6,9.77,MR,1725390953
211,kingston,17.997,-76.7936,34.53,63,20,3.6,JM,1725390954
212,baardheere,2.3446,42.2764,27.08,55,99,10.06,SO,1725390956
213,puerto colombia,10.9878,-74.9547,34.05,75,79,4.98,CO,1725390957
214,vilyuysk,63.7553,121.6247,5.85,85,45,1.06,RU,1725390958
215,siuna,13.7332,-84.7773,31.58,63,82,0.88,NI,1725390959
216,morden,49.1919,-98.1014,27.24,54,0,3.6,CA,1725390960
217,quchan,37.106,58.5095,18.61,12,0,2.92,IR,1725390961
218,holualoa,19.6228,-155.9522,27.53,83,20,3.6,US,1725390963
219,taroa,8.7058,171.2275,28.79,77,48,7.49,MH,1725390964
220,zemio,5.0314,25.1361,22.11,94,84,0.59,CF,1725390966
221,jambi city,-1.6,103.6167,24.23,94,99,1.04,ID,1725390967
222,peace river,56.2501,-117.286,14.17,82,100,3.6,CA,1725390968
223,san pedro pochutla,15.7333,-96.4667,32.06,67,94,3.57,MX,1725390969
224,atafu village,-8.5421,-172.5159,28.22,74,6,8.59,TK,1725390970
225,haiku-pauwela,20.9219,-156.3051,28.45,71,20,9.77,US,1725390971
226,kolyshley,52.7005,44.5367,17.7,47,7,3.45,RU,1725390972
227,zouerate,22.7187,-12.4521,38.32,18,40,7.47,MR,1725390973
228,bikenibeu village,1.3673,173.1241,28.98,79,75,4.12,KI,1725390974
229,port douglas,-16.4833,145.4667,22.89,83,92,8.79,AU,1725390975
230,tocopilla,-22.092,-70.1979,18.57,72,8,5.39,CL,1725390713
231,golmarmara,38.7139,27.9142,24.64,57,20,2.57,TR,1725390977
232,donggongon,5.907,116.1015,25.96,89,20,2.68,MY,1725390979
233,balikpapan,-1.2675,116.8289,27.55,83,40,1.03,ID,1725390980
234,brisas de zicatela,15.8369,-97.0419,29.29,79,75,4.12,MX,1725390981
235,la'ie,21.6477,-157.9253,28.98,79,10,2.68,US,1725390982
236,olonkinbyen,70.9221,-8.7187,6.4,97,100,4.99,SJ,1725390983
237,vadso,70.0744,29.7487,17.09,67,0,6.17,NO,1725390984
238,talcahuano,-36.7167,-73.1167,11.82,71,40,4.63,CL,1725390985
239,namibe,-15.1961,12.1522,18.72,86,74,2.56,AO,1725390987
240,abu al matamir,30.9102,30.1744,24.65,71,0,2.63,EG,1725390988
241,porto novo,6.4965,2.6036,24.9,81,100,4.03,BJ,1725390989
242,cabo san lucas,22.8909,-109.9124,32.17,63,0,4.63,MX,1725390917
243,east london,-33.0153,27.9116,20.86,75,100,6.35,ZA,1725390991
244,sao felix do xingu,-6.6447,-51.995,38.62,16,14,1.77,BR,1725390992
245,santo antonio,-6.3106,-35.4789,27.78,49,88,8.23,BR,1725390993
246,jayapura,-2.5333,140.7,23.66,90,100,1.56,ID,1725390994
247,weno,7.4515,151.8468,25.97,94,100,0.0,FM,1725390995
248,cozumel,20.5083,-86.9458,32.04,66,75,4.12,MX,1725390996
249,cabinda,-5.55,12.2,22.59,87,0,3.34,AO,1725390997
250,ramadi,33.4226,43.3058,32.65,19,0,5.29,IQ,1725390999
251,machico,32.7,-16.7667,23.89,64,40,8.23,PT,1725391000
252,abepura,-2.6333,140.5833,23.45,100,20,0.51,ID,1725391001
253,galliano,29.4422,-90.2992,32.0,58,0,1.54,US,1725391002
254,kaa-khem,51.6833,94.7333,11.33,57,100,1.28,RU,1725391003
255,sierra grande,-41.606,-65.3557,16.07,25,100,8.43,AR,1725391004
256,usinsk,65.9939,57.5281,5.92,73,12,3.46,RU,1725390943
257,the pas,53.8251,-101.2541,30.01,42,0,4.12,CA,1725391006
258,letterkenny,54.95,-7.7333,11.41,66,100,3.07,IE,1725391007
259,wuxue,29.8506,115.5525,25.61,87,3,1.75,CN,1725391008
260,twon-brass,4.3151,6.2418,25.92,84,92,6.15,NG,1725391009
261,hasaki,35.7333,140.8333,24.29,84,100,6.58,JP,1725391010
262,egilsstadir,65.2653,-14.3948,9.95,50,20,6.17,IS,1725391012
263,ayaviri,-14.8864,-70.5889,18.86,16,7,1.12,PE,1725391013
264,zarichne,51.8126,26.129,21.47,43,35,2.15,UA,1725391014
265,tralee,52.2704,-9.7026,14.14,77,75,3.6,IE,1725391015
266,essaouira,31.5125,-9.77,25.72,57,0,5.66,MA,1725391016
267,bathsheba,13.2167,-59.5167,31.34,70,20,8.23,BB,1725391017
268,santander jimenez,24.2167,-98.4667,34.25,49,51,0.98,MX,1725391018
269,xilin hot,43.9667,116.0333,18.5,98,100,2.11,CN,1725391019
270,geraldton,-28.7667,114.6,12.23,94,75,3.09,AU,1725391020
271,timimoun,29.2639,0.231,39.21,12,0,4.12,DZ,1725391021
272,howrah,22.5892,88.3103,29.0,89,40,0.0,IN,1725391022
273,ierapetra,35.01,25.7353,27.3,62,4,3.58,GR,1725391024
274,nakhon phanom,17.3333,104.4167,24.8,91,85,1.99,TH,1725391025
275,selfoss,63.9331,-20.9971,10.02,80,0,3.32,IS,1725391026
276,olyokminsk,60.3736,120.4264,9.06,95,100,4.35,RU,1725391028
277,kodiak,57.79,-152.4072,12.73,88,100,6.69,US,1725391029
278,holly springs,35.6513,-78.8336,26.06,52,6,2.24,US,1725391030
279,port saint john's,-31.6229,29.5448,23.24,59,27,4.81,ZA,1725391031
280,vega de alatorre,20.0333,-96.6333,30.61,69,98,3.51,MX,1725391032
281,begamganj,23.6,78.3333,24.43,92,100,3.22,IN,1725391034
282,kuanda,56.3161,116.0806,4.28,90,28,1.95,RU,1725391035
283,dalyellup,-33.3986,115.6168,15.48,80,22,10.3,AU,1725391036
284,jalasjarvi,62.5,22.75,12.07,80,100,0.98,FI,1725391037
285,la passe,45.5549,-0.8967,18.5,79,84,5.27,FR,1725391038
286,falkenberg,56.9055,12.4912,19.58,76,9,6.52,SE,1725391039
287,chul'man,56.8479,124.9104,8.12,96,100,6.17,RU,1725391040
288,yaren,-0.5472,166.916,28.14,72,100,3.28,NR,1725391041
289,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,76,40,2.0,RU,1725391042
290,ola,59.5833,151.2833,8.36,81,34,1.72,RU,1725391043
291,bat khela,34.6167,71.9714,24.3,73,0,2.23,PK,1725391044
292,benjamin constant,-4.3831,-70.0311,31.07,70,20,2.06,BR,1725391046
293,ad dawadimi,24.5077,44.3924,29.64,23,7,4.34,SA,1725391047
294,morehead city,34.7229,-76.726,27.78,65,75,10.8,US,1725391048
295,sucre,-19.0333,-65.2627,25.66,6,0,3.49,BO,1725391051
296,mournies,35.4764,24.0092,38.04,88,20,2.57,GR,1725391052
297,sabang,5.8933,95.3214,27.1,79,100,8.76,ID,1725391053
298,odda,60.0691,6.5457,12.99,96,100,2.27,NO,1725391055
299,west plains,36.7281,-91.8524,26.23,52,0,3.13,US,1725391057
300,sylvania,41.7189,-83.713,24.34,45,0,2.57,US,1725391058
301,kailua-kona,19.6406,-155.9956,29.6,81,20,3.6,US,1725391059
302,cockburn town,21.4612,-71.1419,28.71,86,18,9.4,TC,1725391060
303,realico,-35.0366,-64.2447,18.86,21,2,4.89,AR,1725391062
304,wiesbaden,50.0833,8.25,22.73,89,41,1.79,DE,1725391064
305,cloquet,46.7216,-92.4594,24.25,53,0,5.14,US,1725391065
306,alofi,-19.0595,-169.9187,22.94,73,100,4.12,NU,1725391067
307,al qusayr,34.5091,36.5798,23.34,68,0,3.64,SY,1725391068
308,ulladulla,-35.35,150.4667,8.54,64,100,2.51,AU,1725391069
309,bamboo flat,11.7,92.7167,25.05,94,100,3.09,IN,1725391070
310,aykol,38.1751,77.2132,20.75,28,100,3.06,CN,1725391071
311,arkhangel'sk,64.5401,40.5433,15.06,82,75,1.0,RU,1725390936
312,mae sot,16.7167,98.5667,26.9,99,97,0.84,TH,1725391073
313,bestobe,52.4994,73.0975,12.81,90,100,5.66,KZ,1725391075
314,marsh harbour,26.5412,-77.0636,29.59,75,62,5.92,BS,1725391076
315,kolonia,50.9333,6.95,23.86,80,0,2.57,DE,1725391077
316,mejit,10.2753,170.8646,28.48,78,23,7.93,MH,1725391078
317,nar'yan-mar,67.6713,53.087,7.71,95,1,3.48,RU,1725391080
318,apiai,-24.5094,-48.8425,30.55,20,0,0.32,BR,1725391081
319,carnarvon,-24.8667,113.6333,19.12,76,63,6.09,AU,1725391082
320,itoman,26.1247,127.6694,28.43,89,20,1.03,JP,1725391083
321,coahuayana de hidalgo,18.7,-103.6583,32.03,60,60,2.99,MX,1725391084
322,moeiwadi,16.3894,104.1572,24.39,94,93,1.99,TH,1725391085
323,angers,47.4667,-0.55,20.01,77,100,3.52,FR,1725391087
324,igarka,67.4667,86.5833,7.9,89,90,3.47,RU,1725391088
325,kota tinggi,1.7381,103.8999,25.13,95,55,0.58,MY,1725391089
326,georgetown,5.4112,100.3354,27.96,88,20,1.03,MY,1725391090
327,jose pedro varela,-33.45,-54.5333,19.93,63,0,6.02,UY,1725391091
328,bairnsdale,-37.8333,147.6167,3.92,96,100,1.97,AU,1725391092
329,"laikit, laikit ii (dimembe)",1.4792,124.9735,21.47,94,40,0.51,ID,1725391093
330,popondetta,-8.7537,148.2534,22.92,88,88,0.95,PG,1725391094
331,la malbaie,47.6575,-70.1559,19.03,45,42,5.05,CA,1725391095
332,paracuru,-3.41,-39.0306,26.98,71,70,7.73,BR,1725391096
333,berberati,4.2612,15.7922,21.16,91,97,0.84,CF,1725391097
334,baise city,23.8997,106.6133,27.97,99,12,0.76,CN,1725391099
335,yanbu,24.0891,38.0637,36.02,32,0,2.57,SA,1725391100
336,christchurch,-43.5333,172.6333,7.17,90,75,3.09,NZ,1725391101
337,surubim,-7.8331,-35.7547,24.81,56,100,6.58,BR,1725391102
338,rio grande,-32.035,-52.0986,18.2,73,2,3.9,BR,1725391103
339,puerto leguizamo,-0.1934,-74.7819,35.46,37,62,0.69,CO,1725391104
340,margate,51.3813,1.3862,19.37,76,100,4.31,GB,1725391105
341,port alfred,-33.5906,26.891,17.32,85,100,0.45,ZA,1725391106
342,aridaia,40.9731,22.0564,25.63,47,100,2.08,GR,1725391107
343,morondava,-20.2833,44.2833,22.96,70,0,3.53,MG,1725391108
344,zhumysker,49.3333,49.4,21.05,21,100,3.38,KZ,1725391109
345,merizo village,13.2658,144.6691,27.31,94,25,3.45,GU,1725391111
346,vryheid,-27.7695,30.7917,15.3,65,0,2.9,ZA,1725391112
347,minas de marcona,-15.2119,-75.1103,16.31,54,0,8.59,PE,1725391113
348,mandalgovi,45.7625,106.2708,10.46,61,13,7.89,MN,1725391114
349,kushiro,42.975,144.3747,17.53,94,100,1.54,JP,1725391115
350,harstad,68.799,16.5293,14.53,76,100,11.62,NO,1725391116
351,lethem,3.3803,-59.7968,32.76,54,99,1.32,GY,1725391117
352,koryazhma,61.3143,47.1691,7.96,82,7,1.69,RU,1725391119
353,lebedyn,50.5852,34.4849,20.44,32,100,3.66,UA,1725391121
354,nowshahr,36.649,51.496,24.97,83,0,0.0,IR,1725391122
355,isangel,-19.55,169.2667,20.48,80,15,2.73,VU,1725391123
356,bechar,31.6167,-2.2167,36.18,16,40,3.09,DZ,1725391124
357,macae,-22.3708,-41.7869,23.86,69,75,2.57,BR,1725391125
